The default VGA color palette is below.
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
0x3F, 0x3F, 0x3F,
